City,Brand,Model,Year,Body,Color,Engine_Power,Fuel_Type,Mileage,Gearbox,Transmission,New,Price
Bakı,Mercedes,E 240,2001,Sedan,Yaş Asfalt,170.0,Benzin,305541,Avtomat,Arxa,Xeyr,15600
Tərtər,GAZ,31029,1995,Pikap,Boz,65.0,Benzin,125866,Mexaniki,Arxa,Xeyr,5800
Bakı,Kia,Rio,2006,Hetçbek / Liftbek,Qara,97.0,Benzin,171000,Mexaniki,Ön,Xeyr,12800
Bakı,LADA (VAZ),Niva,2012,Offroader / SUV,Ağ,80.0,Benzin,153463,Mexaniki,Tam,Xeyr,8900
Naxçıvan,Hyundai,Sonata,2017,Sedan,Ağ,165.0,Benzin,82000,Avtomat,Ön,Xeyr,30500
Bakı,Renault,Megane,2006,Universal,Gümüşü,106.0,Dizel,325000,Mexaniki,Ön,Xeyr,8800
Yevlax,Volkswagen,Golf,1998,Hetçbek / Liftbek,Qara,75.0,Benzin,320000,Mexaniki,Ön,Xeyr,6800
Bakı,Saipa,Tiba,2014,Sedan,Ağ,87.0,Benzin,63000,Mexaniki,Ön,Xeyr,4800
Bakı,Hyundai,Grandeur,2013,Sedan,Qara,180.0,Benzin,150000,Avtomat,Ön,Xeyr,29800
Bakı,Toyota,Land Cruiser,2008,Offroader / SUV,Qara,271.0,Benzin,208000,Avtomat,Tam,Xeyr,29900
Bakı,Mercedes,E 220,2006,Sedan,Qara,170.0,Dizel,241150,Avtomat,Arxa,Xeyr,19500
Bakı,Toyota,Prius,2008,Hetçbek / Liftbek,Yaşıl,76.0,Hibrid,275198,Avtomat,Ön,Xeyr,12900
Bakı,Lexus,GX 460,2011,Offroader / SUV,Ağ,296.0,Benzin,260000,Avtomat,Tam,Xeyr,35800
Sumqayıt,BMW,530,2005,Sedan,Ağ,231.0,Benzin,261700,Avtomat,Arxa,Xeyr,18800
Bakı,Lexus,GS 250,2014,Sedan,Qara,209.0,Benzin,135000,Avtomat,Arxa,Xeyr,26700
Bakı,Lexus,RX 350,2011,Offroader / SUV,Qızılı,275.0,Benzin,63000,Avtomat,Tam,Xeyr,20500
Neftçala,Toyota,Prius,2012,Hetçbek / Liftbek,Ağ,99.0,Benzin,291,Variator,Ön,Xeyr,18400
Bakı,LADA (VAZ),2107,2012,Sedan,Tünd qırmızı,75.0,Benzin,68000,Mexaniki,Arxa,Xeyr,8200
Masallı,GAZ,3110,1999,Sedan,Qara,131.0,Benzin,203000,Mexaniki,Arxa,Xeyr,4000
Neftçala,Toyota,Prius,2012,Hetçbek / Liftbek,Ağ,99.0,Benzin,291,Variator,Ön,Xeyr,18400
Bakı,LADA (VAZ),2107,2012,Sedan,Tünd qırmızı,75.0,Benzin,68000,Mexaniki,Arxa,Xeyr,8200
Masallı,GAZ,3110,1999,Sedan,Qara,131.0,Benzin,203000,Mexaniki,Arxa,Xeyr,4000
Bakı,Hyundai,Sonata,2009,Sedan,Ağ,178.0,Benzin,183000,Avtomat,Ön,Xeyr,17500
Bakı,Mercedes,GLE 43 AMG Coupe ,2017,Offroader / SUV,Yaş Asfalt,390.0,Benzin,41000,Avtomat,Tam,Xeyr,77700
Bakı,JAC,T8,2020,Pikap,Gümüşü,139.0,Dizel,4700,Mexaniki,Tam,Xeyr,35000
Bakı,Chevrolet,Cruze,2013,Sedan,Qara,141.0,Benzin,240000,Avtomat,Ön,Xeyr,13500
Naxçıvan,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,178.0,Benzin,113364,Avtomat,Tam,Xeyr,32700
Bakı,Nissan,Sunny,2007,Sedan,Qızılı,108.0,Benzin,271000,Avtomat,Ön,Xeyr,12600
Bakı,Volkswagen,Golf R,2019,Hetçbek / Liftbek,Ağ,300.0,Benzin,34200,Avtomat,Ön,Xeyr,37400
Bakı,Toyota,Corolla,2006,Hetçbek / Liftbek,Mavi,90.0,Dizel,169000,Mexaniki,Ön,Xeyr,12900
Bakı,Chevrolet,Cruze,2017,Sedan,Qara,153.0,Benzin,44000,Avtomat,Ön,Xeyr,17600
Bakı,Toyota,Prius,2009,Hetçbek / Liftbek,Ağ,99.0,Hibrid,205000,Avtomat,Ön,Xeyr,16600
Bakı,LADA (VAZ),Niva,2015,Offroader / SUV,Ağ,80.0,Benzin,80000,Mexaniki,Tam,Xeyr,12000
Bakı,Mercedes,X 250D,2019,Pikap,Göy,190.0,Dizel,85000,Avtomat,Tam,Xeyr,56500
Gəncə,Lifan,620,2011,Sedan,Ağ,106.0,Benzin,378000,Mexaniki,Ön,Xeyr,6350
Bakı,Chevrolet,Malibu,2016,Sedan,Qırmızı,163.0,Benzin,85000,Avtomat,Ön,Xeyr,23800
Bakı,BMW,530,2019,Sedan,Ağ,249.0,Benzin,41000,Avtomat,Arxa,Xeyr,47000
Bakı,Mercedes,C 220,1994,Sedan,Qızılı,150.0,Benzin,254631,Avtomat,Arxa,Xeyr,7500
Cəlilabad,GAZ,3102,2008,Yük maşını,Ağ,100.0,Benzin,63822,Mexaniki,Arxa,Xeyr,16000
Bakı,LADA (VAZ),Niva,2012,Offroader / SUV,Ağ,80.0,Benzin,160000,Mexaniki,Tam,Xeyr,8900
Sumqayıt,Kia,Rio,2012,Sedan,Ağ,107.0,Benzin,170700,Avtomat,Ön,Xeyr,17500
Bakı,BMW,X1,2013,Offroader / SUV,Qara,245.0,Benzin,142236,Avtomat,Tam,Xeyr,18500
Bakı,Daewoo,Gentra,2013,Sedan,Qara,107.0,Benzin,267000,Mexaniki,Ön,Xeyr,11900
Bakı,Land Rover,Discovery,2017,Offroader / SUV,Göy,340.0,Benzin,50000,Avtomat,Tam,Xeyr,58000
Bakı,Chevrolet,Aveo,2015,Sedan,Gümüşü,106.0,Benzin,21000,Mexaniki,Ön,Xeyr,11300
Bakı,Ford,Transit,2007,Yük maşını,Ağ,140.0,Dizel,240000,Mexaniki,Arxa,Xeyr,24500
Bakı,Mercedes,GLE 53 AMG,2020,Offroader / SUV,Göy,435.0,Benzin,15000,Avtomat,Tam,Xeyr,103000
Goranboy,LADA (VAZ),Niva,2011,Offroader / SUV,Ağ,85.0,Benzin,195000,Mexaniki,Tam,Xeyr,7900
Gəncə,Mercedes,E 320,2002,Sedan,Ağ,244.0,Benzin,298000,Avtomat,Arxa,Xeyr,16000
Bakı,Chevrolet,Malibu,2019,Sedan,Qara,169.0,Benzin,30000,Avtomat,Ön,Xeyr,27000
Bakı,Honda,Civic,2013,Sedan,Mavi,110.0,Hibrid,170000,Avtomat,Ön,Xeyr,17900
Bakı,Volkswagen,Golf,1995,Hetçbek / Liftbek,Qırmızı,90.0,Benzin,258000,Avtomat,Ön,Xeyr,5600
Sumqayıt,Mercedes,S 350,2010,Sedan,Qara,306.0,Benzin,196829,Avtomat,Arxa,Xeyr,22800
Bakı,Toyota,Prius,2007,Hetçbek / Liftbek,Qızılı,76.0,Hibrid,185335,Variator,Ön,Xeyr,13500
Bakı,BMW,325,2008,Universal,Gümüşü,197.0,Dizel,372000,Avtomat,Arxa,Xeyr,23000
Bakı,Volkswagen,Touareg,2007,Offroader / SUV,Yaş Asfalt,280.0,Benzin,245000,Avtomat,Tam,Xeyr,15800
Sumqayıt,BMW,X5,2008,Offroader / SUV,Qara,264.0,Benzin,221352,Avtomat,Tam,Xeyr,30500
Gəncə,BMW,535,2013,Sedan,Göy,306.0,Benzin,218000,Avtomat,Arxa,Xeyr,26000
Sumqayıt,Mercedes,C 230,1998,Sedan,Göy,145.0,Benzin,288563,Avtomat,Arxa,Xeyr,11800
Sumqayıt,Hyundai,Accent,2007,Sedan,Gümüşü,125.0,Dizel,189632,Mexaniki,Ön,Xeyr,12200
Bakı,Chevrolet,Captiva,2009,Offroader / SUV,Qara,169.0,Benzin,196000,Avtomat,Tam,Xeyr,22000
Bakı,Hyundai,Accent,2011,Sedan,Qızılı,108.0,Benzin,276000,Avtomat,Ön,Xeyr,12600
Bakı,Hyundai,Elantra,2011,Sedan,Qara,150.0,Benzin,108631,Avtomat,Ön,Xeyr,16700
Sumqayıt,Mercedes,C 180,1998,Sedan,Yaş Asfalt,122.0,Benzin,302242,Avtomat,Arxa,Xeyr,10800
Goranboy,LADA (VAZ),2115,2012,Sedan,Yaş Asfalt,80.0,Benzin,198000,Mexaniki,Ön,Xeyr,9500
Bakı,Mercedes,190,1991,Sedan,Bənövşəyi,122.0,Benzin,325134,Avtomat,Arxa,Xeyr,5200
Bakı,Toyota,Prado,2012,Offroader / SUV,Ağ,167.0,Benzin,107117,Avtomat,Tam,Xeyr,28300
Mingəçevir,Opel,Astra,1999,Hetçbek / Liftbek,Gümüşü,101.0,Benzin,367600,Avtomat,Ön,Xeyr,8500
Tovuz,Toyota,Prado,2013,Offroader / SUV,Gümüşü,190.0,Dizel,106000,Avtomat,Tam,Xeyr,41000
Bakı,Mercedes,S 350,2004,Sedan,Göy,245.0,Benzin,224000,Avtomat,Arxa,Xeyr,16000
Bakı,Opel,Astra,2005,Universal,Qara,90.0,Benzin,221000,Mexaniki,Ön,Xeyr,10500
Bakı,Opel,Astra,2007,Hetçbek / Liftbek,Qara,105.0,Benzin,148500,Mexaniki,Ön,Xeyr,11900
Sumqayıt,Cadillac,SRX,2005,Offroader / SUV,Yaş Asfalt,280.0,Benzin,151500,Avtomat,Tam,Xeyr,9900
Bakı,Opel,Astra,2005,Universal,Yaş Asfalt,105.0,Benzin,350000,Mexaniki,Ön,Xeyr,12500
Bakı,Chevrolet,Cruze,2016,Sedan,Göy,153.0,Benzin,131966,Avtomat,Ön,Xeyr,16400
Mingəçevir,Kia,Ceed,2008,Universal,Gümüşü,125.0,Dizel,138000,Mexaniki,Ön,Xeyr,14300
Bakı,Mercedes,E 220,2010,Sedan,Qara,170.0,Dizel,270600,Avtomat,Arxa,Xeyr,25800
Gəncə,Jeep,Grand Cherokee,1999,Offroader / SUV,Yaş Asfalt,220.0,Benzin,330000,Avtomat,Tam,Xeyr,9000
Bakı,BMW,750,2012,Sedan,Qara,407.0,Benzin,102000,Avtomat,Arxa,Xeyr,27000
Bakı,Mercedes,S 350,2010,Sedan,Ağ,306.0,Benzin,131200,Avtomat,Arxa,Xeyr,26000
Bakı,Ford,Fusion,2014,Sedan,Yaşıl,181.0,Benzin,158000,Avtomat,Ön,Xeyr,22000
Bakı,Toyota,Camry,2020,Sedan,Göy,203.0,Benzin,300,Avtomat,Ön,Xeyr,32500
Bakı,Toyota,Camry,2019,Sedan,Qara,206.0,Benzin,25000,Avtomat,Ön,Xeyr,36500
Bakı,Toyota,Camry,2019,Sedan,Qara,206.0,Benzin,25000,Avtomat,Ön,Xeyr,36500
Bakı,Land Rover,Range Rover,2015,Offroader / SUV,Ağ,340.0,Benzin,110000,Avtomat,Tam,Xeyr,65000
Bakı,Kia,Optima,2016,Sedan,Göy,188.0,Benzin,121000,Avtomat,Ön,Xeyr,27500
Bakı,LADA (VAZ),Niva,2009,Offroader / SUV,Ağ,80.0,Benzin,105000,Mexaniki,Tam,Xeyr,7600
Bakı,Lexus,RX 350,2012,Offroader / SUV,Ağ,277.0,Benzin,160000,Avtomat,Tam,Xeyr,25500
Bakı,Toyota,Corolla,2019,Sedan,Qırmızı,168.0,Benzin,33000,Avtomat,Ön,Xeyr,22500
Bakı,BMW,320,2014,Sedan,Ağ,184.0,Benzin,152000,Avtomat,Arxa,Xeyr,17700
Bakı,Hyundai,Santa Fe,2014,Offroader / SUV,Ağ,197.0,Dizel,126707,Avtomat,Tam,Xeyr,23500
Sumqayıt,Mercedes,E 320,2008,Sedan,Qara,224.0,Dizel,192900,Avtomat,Arxa,Xeyr,22800
Bakı,Chevrolet,Cruze,2012,Sedan,Qara,141.0,Benzin,80000,Avtomat,Ön,Xeyr,13900
Sumqayıt,Mercedes,C 240,2001,Sedan,Ağ,170.0,Benzin,252500,Avtomat,Arxa,Xeyr,9900
Bakı,Hyundai,H-1,2003,Minivan,Yaşıl,135.0,Benzin,350000,Mexaniki,Arxa,Xeyr,10500
Bakı,Audi,A7,2015,Hetçbek / Liftbek,Qara,249.0,Benzin,78000,Avtomat,Ön,Xeyr,39700
Bakı,Opel,Astra,1998,Universal,Yaşıl,101.0,Benzin,230000,Avtomat,Ön,Xeyr,6950
Bakı,Hyundai,i30,2012,Hetçbek / Liftbek,Ağ,128.0,Dizel,78000,Avtomat,Ön,Xeyr,20500
Bakı,Mini,Cooper,2008,Hetçbek / Liftbek,Yaş Asfalt,300.0,Benzin,112400,Avtomat,Ön,Xeyr,16300
Bakı,Volkswagen,Passat,2004,Sedan,Yaş Asfalt,170.0,Benzin,238000,Avtomat,Ön,Xeyr,7000
Bakı,Toyota,Camry,2018,Sedan,Qara,181.0,Benzin,37015,Avtomat,Ön,Xeyr,27000
Bakı,Toyota,Camry,2020,Sedan,Qara,249.0,Benzin,0,Avtomat,Ön,Bəli,52800
Bakı,Toyota,FJ Cruiser,2009,Offroader / SUV,Boz,282.0,Benzin,190000,Avtomat,Tam,Xeyr,21000
Bakı,Toyota,FJ Cruiser,2009,Offroader / SUV,Boz,282.0,Benzin,190000,Avtomat,Tam,Xeyr,21000
Bakı,Kia,Cerato,2014,Sedan,Ağ,130.0,Dizel,144000,Avtomat,Ön,Xeyr,22300
Bakı,Mitsubishi,Lancer,2008,Sedan,Qara,150.0,Benzin,200000,Avtomat,Ön,Xeyr,9300
Bakı,Kia,Sorento,2015,Sedan,Qəhvəyi,178.0,Benzin,243011,Avtomat,Tam,Xeyr,35800
Bakı,Opel,Astra,2009,Hetçbek / Liftbek,Gümüşü,90.0,Benzin,132000,Mexaniki,Ön,Xeyr,12100
Bakı,Ford,Transit,2003,Van,Ağ,120.0,Dizel,555000,Mexaniki,Arxa,Xeyr,25000
Bakı,Hyundai,Elantra,2014,Sedan,Yaş Asfalt,150.0,Benzin,155000,Avtomat,Ön,Xeyr,20900
Şirvan,Renault,Megane,2008,Universal,Gümüşü,110.0,Dizel,191757,Mexaniki,Ön,Xeyr,10300
Bakı,Kia,Sorento,2006,Offroader / SUV,Qara,195.0,Benzin,238220,Avtomat,Arxa,Xeyr,16500
Bakı,Volkswagen,Passat,2011,Sedan,Gümüşü,170.0,Benzin,183000,Avtomat,Ön,Xeyr,18800
Bakı,Hyundai,Sonata,2014,Sedan,Qara,274.0,Benzin,98170,Avtomat,Tam,Xeyr,26800
Bakı,Toyota,Land Cruiser,2021,Offroader / SUV,Qara,282.0,Benzin,0,Avtomat,Tam,Bəli,95000
Sumqayıt,Fiat,Doblo,2008,Furqon,Ağ,110.0,Dizel,259000,Mexaniki,Ön,Xeyr,8500
Bakı,Mercedes,Vito,2012,Van,Ağ,163.0,Dizel,234472,Mexaniki,Arxa,Xeyr,27500
Gəncə,Hyundai,Accent,2016,Sedan,Gümüşü,140.0,Benzin,84000,Avtomat,Ön,Xeyr,19200
Sumqayıt,LADA (VAZ),2107,2003,Sedan,Yaşıl,75.0,Benzin,247000,Mexaniki,Arxa,Xeyr,4450
Bakı,Chevrolet,Malibu,2017,Sedan,Ağ,160.0,Benzin,58300,Avtomat,Ön,Xeyr,23500
Bakı,Nissan,Tiida,2012,Hetçbek / Liftbek,Qəhvəyi,110.0,Benzin,58000,Avtomat,Ön,Xeyr,13800
Bakı,Volkswagen,Touareg,2006,Offroader / SUV,Qara,350.0,Benzin,198000,Avtomat,Tam,Xeyr,13800
Masallı,LADA (VAZ),2107,1998,Sedan,Bənövşəyi,65.0,Benzin,43000,Mexaniki,Arxa,Xeyr,4500
Masallı,LADA (VAZ),2107,1998,Sedan,Bənövşəyi,65.0,Benzin,43000,Mexaniki,Arxa,Xeyr,4500
Bakı,Opel,Astra,2008,Universal,Boz,90.0,Benzin,169000,Mexaniki,Ön,Xeyr,11600
Xudat,LADA (VAZ),2107,1995,Sedan,Yaşıl,65.0,Benzin,266666,Mexaniki,Arxa,Xeyr,3300
Bakı,Kia,Rio,2008,Hetçbek / Liftbek,Qızılı,97.0,Benzin,76000,Mexaniki,Ön,Xeyr,11900
Bakı,Hyundai,Accent,2006,Sedan,Gümüşü,112.0,Benzin,220000,Avtomat,Ön,Xeyr,11900
Bakı,Hyundai,Accent,2011,Sedan,Ağ,107.0,Benzin,179000,Avtomat,Ön,Xeyr,21104
Ucar,LADA (VAZ),21099,1996,Sedan,Ağ,75.0,Benzin,432000,Mexaniki,Ön,Xeyr,5000
Bakı,Toyota,Land Cruiser,2010,Offroader / SUV,Ağ,282.0,Benzin,210000,Avtomat,Tam,Xeyr,27000
Bakı,Opel,Astra,2006,Universal,Yaş Asfalt,120.0,Dizel,285000,Mexaniki,Ön,Xeyr,9600
Bakı,Toyota,Prado,2012,Offroader / SUV,Qara,167.0,Benzin,139900,Avtomat,Tam,Xeyr,27500
Bakı,BMW,330,2018,Sedan,Gümüşü,252.0,Benzin,12000,Avtomat,Arxa,Xeyr,28000
Bakı,Nissan,Sunny,2007,Sedan,Qara,90.0,Benzin,320000,Avtomat,Ön,Xeyr,7800
Bakı,Kia,Sorento,2016,Offroader / SUV,Boz,184.0,Dizel,79100,Avtomat,Ön,Xeyr,42900
Bakı,Toyota,Prius,2009,Hetçbek / Liftbek,Göy,99.0,Hibrid,213000,Avtomat,Ön,Xeyr,16500
Bakı,Toyota,Corolla,2006,Universal,Göy,90.0,Dizel,172000,Mexaniki,Ön,Xeyr,13800
Xudat,Hyundai,Accent,2009,Sedan,Ağ,102.0,Benzin,370623,Mexaniki,Ön,Xeyr,11800
Bakı,Toyota,Prius,2008,Hetçbek / Liftbek,Yaşıl,76.0,Benzin,170000,Avtomat,Ön,Xeyr,12900
Bakı,Hyundai,Grandeur,2016,Sedan,Qara,179.0,Benzin,75000,Avtomat,Ön,Xeyr,22000
Bakı,Opel,Astra,2008,Universal,Gümüşü,90.0,Benzin,141000,Mexaniki,Ön,Xeyr,13000
Bakı,Audi,Q5,2015,Offroader / SUV,Qara,230.0,Benzin,81000,Avtomat,Tam,Xeyr,24800
Mingəçevir,Opel,Astra,2006,Hetçbek / Liftbek,Boz,90.0,Benzin,143141,Mexaniki,Ön,Xeyr,10800
Bakı,Toyota,Land Cruiser,2012,Offroader / SUV,Qara,282.0,Benzin,145300,Avtomat,Tam,Xeyr,39500
Bakı,BMW,530,2017,Sedan,Qara,254.0,Benzin,77000,Avtomat,Tam,Xeyr,39900
Bakı,Mitsubishi,Grandis,2003,Minivan,Ağ,165.0,Benzin,376000,Avtomat,Ön,Xeyr,9500
